('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294720 function calls (294516 primitive calls) in 8.921 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 adapters.py:90(_urllib3_request_context)
        2    0.000    0.000    0.000    0.000 client.py:261(__init__)
       51    0.000    0.000    0.001    0.000 __init__.py:226(compile)
       38    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
       42    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
        2    0.000    0.000    0.001    0.000 cookies.py:140(get_cookie_header)
    44/14    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:911(_load_unlocked)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1183(get_data)
        1    0.000    0.000    0.000    0.000 __init__.py:484(reset)
       49    0.000    0.000    0.000    0.000 _parser.py:168(__getitem__)
        2    0.000    0.000    0.000    0.000 {method 'poll' of 'select.poll' objects}
        6    0.000    0.000    0.000    0.000 utils.py:743(set_environ)
        2    0.000    0.000    0.001    0.000 poolmanager.py:330(connection_from_pool_key)
        4    0.000    0.000    0.000    0.000 response.py:641(release_conn)
  164/162    0.000    0.000    0.000    0.000 element.py:2203(_normalize_search_value)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
        6    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
        2    0.000    0.000    0.000    0.000 client.py:1320(endheaders)
        1    0.000    0.000    0.002    0.002 utils.py:864(resolve_proxies)
        1    0.000    0.000    0.214    0.214 parser.py:104(feed)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
       10    0.000    0.000    0.000    0.000 connection.py:404(<genexpr>)
        2    0.000    0.000    0.000    0.000 poolmanager.py:199(__init__)
        2    0.000    0.000    0.000    0.000 request.py:191(body_to_chunks)
        4    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
        2    0.000    0.000    0.000    0.000 client.py:1027(send)
        2    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
        4    0.000    0.000    0.000    0.000 enum.py:1562(__and__)
        2    0.000    0.000    0.000    0.000 _parser.py:969(parse)
       25    0.000    0.000    0.000    0.000 {method '__enter__' of '_thread.lock' objects}
        3    0.000    0.000    0.000    0.000 cookies.py:542(merge_cookies)
        2    0.000    0.000    0.000    0.000 response.py:685(_init_length)
        2    0.000    0.000    0.000    0.000 client.py:1082(_send_output)
        2    0.000    0.000    0.000    0.000 adapters.py:240(init_poolmanager)
        2    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        2    0.000    0.000    0.000    0.000 socket.py:681(__init__)
        1    0.000    0.000    0.000    0.000 client.py:865(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:1044(_new_conn)
        5    0.000    0.000    0.000    0.000 {function SocketIO.close at 0x7f1cccd47b00}
        2    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      6/2    0.000    0.000    0.000    0.000 _parser.py:178(getwidth)
       20    0.000    0.000    0.000    0.000 connection.py:357(<genexpr>)
        2    0.000    0.000    0.000    0.000 parse.py:509(urlunparse)
       25    0.000    0.000    0.000    0.000 threading.py:302(__exit__)
       20    0.000    0.000    0.000    0.000 {built-in method builtins.min}
        1    0.000    0.000    0.001    0.001 netrc.py:1(<module>)
        2    0.000    0.000    0.000    0.000 poolmanager.py:374(_merge_pool_kwargs)
       24    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:989(exec_module)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        3    0.000    0.000    0.000    0.000 utils.py:774(get_proxy)
        4    0.000    0.000    0.000    0.000 timeout.py:188(clone)
        1    0.000    0.000    0.002    0.002 sessions.py:302(rebuild_proxies)
        8    0.000    0.000    0.000    0.000 threading.py:124(RLock)
        1    0.000    0.000    0.000    0.000 {method 'flush' of 'zlib.Decompress' objects}
        2    0.000    0.000    0.001    0.000 connectionpool.py:256(_get_conn)
        1    0.000    0.000    0.000    0.000 models.py:483(prepare_headers)
        2    0.000    0.000    0.000    0.000 client.py:425(_close_conn)
        4    0.000    0.000    0.000    0.000 <frozen genericpath>:16(exists)
       31    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
       36    0.000    0.000    0.000    0.000 <frozen _collections_abc>:435(__subclasshook__)
        2    0.000    0.000    0.000    0.000 utils.py:539(get_encoding_from_headers)
        6    0.000    0.000    0.000    0.000 cookiejar.py:884(__init__)
        2    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
        2    0.000    0.000    0.000    0.000 parse.py:931(quote_from_bytes)
       24    0.000    0.000    0.000    0.000 threading.py:314(_is_owned)
        1    0.000    0.000    0.000    0.000 ssl.py:678(verify_mode)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:819(keys)
        2    0.000    0.000    0.000    0.000 feedparser.py:195(_new_message)
        2    0.000    0.000    0.000    0.000 response.py:450(_init_decoder)
        1    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options)
       10    0.000    0.000    0.000    0.000 cookiejar.py:1753(__iter__)
        1    0.000    0.000    0.000    0.000 wait.py:57(poll_wait_for_socket)
        2    0.000    0.000    0.000    0.000 ssl.py:670(verify_mode)
        4    0.000    0.000    0.000    0.000 <frozen _collections_abc>:940(pop)
        2    0.000    0.000    0.000    0.000 sessions.py:781(get_adapter)
        2    0.000    0.000    0.000    0.000 utils.py:660(requote_uri)
        1    0.000    0.000    0.000    0.000 sessions.py:794(close)
        5    0.000    0.000    0.000    0.000 <frozen _collections_abc>:823(items)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:611(_get_cached)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
        4    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
        3    0.000    0.000    0.000    0.000 __init__.py:1790(isEnabledFor)
        6    0.000    0.000    0.000    0.000 contextlib.py:132(__enter__)
