('Total Revenue', '97,150,000.00', '96,773,000.00', '81,462,000.00', '53,823,000.00', '31,536,000.00')
         294674 function calls (294475 primitive calls) in 3.938 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       43    0.000    0.000    0.889    0.021 models.py:816(generate)
        6    0.000    0.000    0.002    0.000 cookies.py:124(extract_cookies_to_jar)
        5    0.000    0.000    0.000    0.000 {method 'write' of '_io.StringIO' objects}
        2    0.000    0.000    0.000    0.000 feedparser.py:52(__init__)
       40    0.000    0.000    0.000    0.000 message.py:511(set_raw)
        2    0.000    0.000    0.000    0.000 feedparser.py:137(__init__)
        8    0.000    0.000    0.001    0.000 cookies.py:35(__init__)
        2    0.000    0.000    0.000    0.000 {method 'write' of '_ssl._SSLSocket' objects}
      188    0.000    0.000    0.000    0.000 <frozen os>:766(decode)
        8    0.000    0.000    0.001    0.000 message.py:596(get_content_type)
       40    0.000    0.000    0.000    0.000 _collections.py:300(add)
      185    0.000    0.000    0.000    0.000 <frozen os>:703(__iter__)
        2    0.000    0.000    0.000    0.000 response.py:577(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.__build_class__}
       11    0.000    0.000    0.000    0.000 {built-in method posix.stat}
       32    0.000    0.000    0.000    0.000 structures.py:51(__getitem__)
        1    0.000    0.000    0.000    0.000 {method '_set_alpn_protocols' of '_ssl._SSLContext' objects}
       22    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
        6    0.000    0.000    0.001    0.000 cookiejar.py:1680(extract_cookies)
        1    0.000    0.000    0.000    0.000 netrc.py:66(netrc)
        1    0.000    0.000    3.929    3.929 financial.py:12(fetch_page)
        1    0.000    0.000    0.682    0.682 ssl_.py:488(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.001    0.001 _collections.py:240(__init__)
       11    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.RLock' objects}
       51    0.000    0.000    0.001    0.000 __init__.py:280(_compile)
        6    0.000    0.000    0.000    0.000 contextlib.py:299(helper)
       12    0.000    0.000    0.000    0.000 queue.py:122(put)
       43    0.000    0.000    0.889    0.021 response.py:1044(stream)
        2    0.000    0.000    0.000    0.000 {built-in method marshal.loads}
       23    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
       65    0.000    0.000    0.000    0.000 structures.py:46(__setitem__)
       25    0.000    0.000    0.000    0.000 threading.py:299(__enter__)
      6/2    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        4    0.000    0.000    0.000    0.000 parse.py:452(urlsplit)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.print}
       62    0.000    0.000    0.000    0.000 {method 'find' of 'str' objects}
    44/14    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.000    0.000 models.py:799(iter_content)
        1    0.000    0.000    3.938    3.938 financial.py:51(get_financial_data)
       54    0.000    0.000    0.000    0.000 utils.py:52(_has_surrogates)
        8    0.000    0.000    0.000    0.000 message.py:29(_splitparam)
        6    0.000    0.000    0.005    0.001 feedparser.py:176(_call_parse)
       44    0.000    0.000    0.000    0.000 {method 'popleft' of 'collections.deque' objects}
        1    0.000    0.000    1.195    1.195 connection.py:669(connect)
        6    0.000    0.000    0.001    0.000 contextlib.py:141(__exit__)
        2    0.000    0.000    0.000    0.000 _parser.py:512(_parse)
       52    0.000    0.000    0.001    0.000 _policybase.py:319(header_fetch_parse)
        1    0.000    0.000    0.000    0.000 {built-in method today}
       10    0.000    0.000    0.000    0.000 client.py:1292(putheader)
        2    0.000    0.000    0.000    0.000 client.py:442(flush)
       16    0.000    0.000    0.000    0.000 enum.py:726(__call__)
       46    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
      220    0.000    0.000    0.000    0.000 {built-in method _abc._abc_instancecheck}
      185    0.000    0.000    0.001    0.000 <frozen _collections_abc>:868(__iter__)
       51    0.000    0.000    0.001    0.000 parser.py:123(set_cdata_mode)
        2    0.000    0.000    0.001    0.000 response.py:807(_fp_read)
        2    0.000    0.000    0.000    0.000 message.py:243(get_payload)
       72    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.249    0.249 __init__.py:122(__init__)
        2    0.000    0.000    2.768    1.384 connectionpool.py:592(urlopen)
        2    0.000    0.000    0.000    0.000 socket.py:304(makefile)
        3    0.000    0.000    0.000    0.000 sessions.py:107(get_redirect_target)
        1    0.000    0.000    0.513    0.513 connection.py:192(_new_conn)
        2    0.000    0.000    2.767    1.384 connectionpool.py:377(_make_request)
        2    0.000    0.000    0.000    0.000 client.py:1136(putrequest)
        4    0.000    0.000    0.000    0.000 response.py:641(release_conn)
       33    0.000    0.000    0.000    0.000 parse.py:108(_noop)
        2    0.000    0.000    0.001    0.000 connection.py:369(request)
        2    0.000    0.000    0.002    0.001 adapters.py:359(build_response)
        1    0.000    0.000    0.512    0.512 connection.py:27(create_connection)
        2    0.000    0.000    2.771    1.385 adapters.py:613(send)
        2    0.000    0.000    0.002    0.001 response.py:864(_raw_read)
        1    0.000    0.000    0.000    0.000 socket.py:522(type)
        2    0.000    0.000    0.000    0.000 response.py:316(__init__)
        1    0.000    0.000    0.000    0.000 {method 'append' of 'bytearray' objects}
        1    0.000    0.000    0.002    0.002 response.py:916(read)
       42    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
        2    0.000    0.000    0.000    0.000 utils.py:660(requote_uri)
        2    0.000    0.000    0.000    0.000 models.py:610(prepare_cookies)
       97    0.000    0.000    0.000    0.000 {method 'rindex' of 'str' objects}
       56    0.000    0.000    0.002    0.000 _htmlparser.py:90(handle_startendtag)
        4    0.000    0.000    0.000    0.000 typing.py:1465(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 poolmanager.py:95(_default_key_normalizer)
        1    0.000    0.000    0.683    0.683 connection.py:846(_ssl_wrap_socket_and_match_hostname)
       45    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      220    0.000    0.000    0.000    0.000 <frozen abc>:117(__instancecheck__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1356(add_cookie_header)
        1    0.000    0.000    0.000    0.000 ssl.py:1309(_real_close)
       10    0.000    0.000    0.000    0.000 socket.py:100(_intenum_converter)
       22    0.000    0.000    0.000    0.000 parse.py:205(_hostinfo)
       20    0.000    0.000    0.000    0.000 parse.py:164(hostname)
        3    0.000    0.000    0.001    0.000 utils.py:765(should_bypass_proxies)
       10    0.000    0.000    0.000    0.000 connection.py:355(putheader)
       11    0.000    0.000    0.000    0.000 {method 'release' of '_thread.RLock' objects}
        1    0.000    0.000    0.509    0.509 socket.py:946(getaddrinfo)
        2    0.000    0.000    0.000    0.000 models.py:658(__init__)
       10    0.000    0.000    0.001    0.000 structures.py:40(__init__)
        1    0.000    0.000    0.000    0.000 response.py:256(get)
        2    0.000    0.000    0.000    0.000 _compiler.py:573(_code)
        2    0.000    0.000    0.000    0.000 _parser.py:452(_parse_sub)
        3    0.000    0.000    0.000    0.000 url.py:367(parse_url)
        2    0.000    0.000    0.000    0.000 feedparser.py:208(_pop_message)
       17    0.000    0.000    0.028    0.002 {method 'decode' of 'bytearray' objects}
        4    0.000    0.000    0.000    0.000 typing.py:1194(__instancecheck__)
